avgtime,time,n,ubar,vbar,wbar,tbar,cov_uv,cov_vw,cov_wt,Spod,Sentinel,L,wd,ws
7/5/14 16:15,7/5/14 16:15,300,-1.3266,1.4289,0.075066667,300.4934,0.112429505,0.095110274,0.179106127,0.026440915,0.05124249,-24.18679885,317,1.95
7/5/14 16:20,7/5/14 16:20,300,-1.874833333,0.357766667,0.055366667,300.4644,0.12195539,-0.042670583,0.10469002,0.106629523,0.135343592,-34.00321234,281,1.91
7/5/14 16:25,7/5/14 16:25,300,-1.416466667,1.9369,0.149166667,300.0665333,0.205809652,0.070013127,0.193914827,0.030383363,0.029060817,-40.01169778,324,2.40
7/5/14 16:30,7/5/14 16:30,300,-1.065866667,0.4392,0.025166667,299.8146,1.114737097,-0.027352375,0.132281171,0.06837076,0.062106825,-680.8060547,292,1.15
7/5/14 16:35,7/5/14 16:35,300,-2.3357,0.0431,0.057766667,300.0830667,0.04669298,0.053167482,0.124240986,0.112170164,0.101722633,-11.59777649,271,2.34
7/5/14 16:40,7/5/14 16:40,300,-3.0222,0.415966667,0.0317,299.7283333,0.182710495,-0.033242953,0.114045318,0.092584361,0.158859473,-53.6558831,278,3.05
7/5/14 16:45,7/5/14 16:45,300,-2.904233333,0.1191,0.073033333,300.0707667,-0.29638108,-0.040339401,0.143664222,0.121944946,0.114159571,-87.1652695,272,2.91
7/5/14 16:50,7/5/14 16:50,300,-2.704066667,-0.6108,0.041366667,300.1530667,0.071790716,0.019523505,0.121460343,0.175628072,0.092670568,-12.79277594,257,2.77
7/5/14 16:55,7/5/14 16:55,300,-2.076233333,-0.1964,0.053133333,300.3789,0.099535559,0.093554903,0.150627873,0.154151019,0.095986476,-25.68378798,265,2.09
7/5/14 17:00,7/5/14 17:00,300,-3.0447,0.105733333,-0.006766667,299.7463667,-0.209821793,0.01099043,0.097059279,0.129722879,0.113419565,-75.87507442,272,3.05
7/5/14 17:05,7/5/14 17:05,300,-2.031266667,-0.018566667,0.0178,300.2719,0.163560016,0.024451659,0.103898843,0.062063139,0.151495446,-49.58303218,269,2.03
7/5/14 17:10,7/5/14 17:10,300,-1.305866667,2.467533333,0.090833333,300.1270667,0.088486149,0.127042531,0.088314827,0.024344224,0.033738188,-52.81181666,332,2.79
7/5/14 17:15,7/5/14 17:15,300,-1.232,2.4309,0.179966667,299.8633667,-0.19462495,0.142960231,0.108800447,0.003579184,0.004348864,-83.43537969,333,2.73
7/5/14 17:20,7/5/14 17:20,300,-1.794666667,1.1721,-0.014766667,299.8415667,-0.296047358,-0.017459187,0.109305486,0.026160557,0.083292075,-113.0151009,303,2.14
7/5/14 17:25,7/5/14 17:25,300,-1.6738,-0.9193,0.091433333,300.3613333,-0.049523084,-0.04960201,0.058470658,0.082958512,0.055478457,-24.31773396,241,1.91
7/5/14 17:30,7/5/14 17:30,300,-2.090766667,-0.443766667,0.036533333,300.2922667,-0.0021738,0.01534643,0.086415576,0.094852921,0.101019196,-1.710597284,258,2.14
7/5/14 17:35,7/5/14 17:35,300,-2.738466667,-0.2986,0.0148,299.8976333,-0.286179077,-0.026315104,0.073350863,0.111443137,0.076637418,-160.6871269,264,2.75
7/5/14 17:40,7/5/14 17:40,300,-2.2844,-0.123166667,0.085633333,300.0286,-0.053507291,-0.016225914,0.062842027,0.135738863,0.112269599,-16.1027661,267,2.29
7/5/14 17:45,7/5/14 17:45,300,-1.809533333,-0.4949,0.074433333,299.9119333,-0.02099202,0.011114104,0.078152939,0.125194904,0.033332011,-3.583689462,255,1.88
7/5/14 17:50,7/5/14 17:50,300,-1.917166667,-0.280066667,0.090666667,300.2526333,-0.123413188,0.027531483,0.103944058,0.123573318,0.076036652,-33.1331666,262,1.94
7/5/14 17:55,7/5/14 17:55,300,-2.4925,-0.1169,0.0017,299.9375667,0.394417475,-0.010550438,0.06597405,0.074816101,0.106850728,-287.4344729,267,2.50
7/5/14 18:00,7/5/14 18:00,150,-1.766133333,-1.5166,0.072533333,300.5109333,-0.081489074,0.090306765,0.070364063,0.13449714,0.054242372,-46.21965762,229,2.33
